Tempo; Temperatura;;;;;
1;380.7;358.1;361.5;386.9;357.3;390.4
2;380.4;357.9;361.4;388.1;356.9;389.4
3;380.1;357.6;361.3;388.5;356.8;389.1
4;379.8;357.4;361.3;388.5;356.7;389
5;379.5;357.1;361.3;388.2;356.4;389.5
6;379.2;356.9;361.3;388.1;356.2;389.7
7;378.9;356.7;361.3;388.4;355.9;389.8
8;378.5;356.5;361;388.6;355.8;389.8
9;378.2;356.2;360.2;388.6;355.6;389.6
10;377.9;356;359.9;388.5;355.3;389.4
11;377.6;355.7;359.9;388.3;355.1;389.2
12;377.3;355.5;360;388.2;354.9;389
13;377;355.3;360;388;354.6;388.7
14;376.8;355;359.7;387.7;354.4;388.5
15;376.5;354.8;359.5;387.6;354.1;388.3
16;376.1;354.5;359.3;387.6;354;388
17;375.8;354.3;358.7;387.5;353.7;387.7
18;375.6;354.1;358.6;387.2;353.4;387.4
19;375.3;353.8;358.4;386.7;353.2;387.3
20;375;353.6;357.9;386.3;353.1;387
21;374.6;353.4;357.9;386;352.8;386.6
22;374.1;353.1;357.6;385.6;352.5;386.3
23;373.8;352.9;357.2;385.1;352.2;386.1
24;373.5;352.6;357.4;384.7;352.1;385.8
25;373.2;352.4;356.9;384.5;351.8;385.5
26;372.9;352.1;357;384.3;351.5;385.1
27;372.6;351.9;356.4;384.1;351.4;385
28;372.3;351.7;355.7;384;351.1;384.7
29;372;351.5;355.4;383.8;350.8;384.3
30;371.7;351.2;355.2;383.3;350.5;384.1
31;371.4;350.7;355.3;382.9;350.4;383.8
32;371.1;350.5;355.1;382.6;350.1;383.6
33;370.8;350.2;354.8;382.6;349.8;383.3
34;370.5;350;354.8;382.6;349.5;383.1
35;370.2;349.7;354.4;382.4;349.4;382.8
36;370;349.5;354.3;382.4;349.1;382.5
37;369.7;349.3;354.1;382.5;348.8;382.2
38;369.4;349;354;382.6;348.5;382.1
39;369.1;348.8;353.8;382.6;348.4;381.7
40;368.8;348.5;353.5;382.6;348.1;381.4
41;368.5;348.3;352.9;382.4;347.8;381.1
42;368.2;348;352.6;381.8;347.5;381
43;367.9;347.8;352.1;381;347.3;380.6
44;367.6;347.5;352.3;380.4;347;380.4
45;367.3;347.3;352.3;380.2;346.7;380.2
46;367;347.1;352.2;379.8;346.6;380
47;366.8;346.9;352.1;379.3;346.2;379.7
48;366.5;346.6;351.4;379.2;345.9;379.4
49;366.2;346.4;351.4;379.4;345.7;379.2
50;365.9;346.2;351.4;379.5;345.5;379
51;365.6;345.9;350.9;379.5;345.2;378.7
52;365.3;345.7;350.2;379.5;344.9;378.4
53;365;345.4;349.3;379.3;344.6;378.3
54;364.7;345.2;348.9;379.1;344.4;378
55;364.5;345;348.2;378.9;344.1;377.8
56;364.2;344.7;348.3;378.8;343.8;377.6
57;363.9;344.5;348.4;378.5;343.7;377.3
58;363.6;344.3;348.5;378.3;343.4;377
59;363.3;344.1;348.3;378.1;343;376.7
60;363;343.8;347.6;377.9;342.8;376.6
61;362.7;343.6;347.5;377.6;342.6;376.3
62;362.5;343.4;347.6;377;342.3;376
63;362.2;343.1;346.8;376.1;342;375.6
64;361.9;342.9;346.5;375.9;341.7;375.5
65;361.6;342.6;346.6;375.4;341.6;375.2
66;361.3;342.4;346.8;375.1;341.3;374.9
67;361;342.2;346.6;374.8;340.9;374.5
68;360.8;342;345.9;374.7;340.6;374.4
69;360.5;341.8;345.7;374.4;340.5;374
70;360.2;341.5;345.4;374.1;340.2;373.7
71;359.9;341.3;344.8;373.8;339.9;373.4
72;359.6;341;344.5;373.6;339.6;373.3
73;359.3;340.8;344.3;373.4;339.4;372.9
74;359;340.6;343.9;373.1;339.1;372.6
75;358.7;340.4;343.5;372.9;338.8;372.3
76;358.5;340.2;343.2;371.9;338.6;372.1
77;358.2;339.9;342.7;370.5;338.2;371.8
78;357.9;339.7;342.3;370.5;338;371.5
79;357.6;339.5;341.9;370.7;337.8;371.2
80;357.3;339.3;341.7;370.8;337.6;371
81;357;339.1;341.4;370.7;337.3;370.7
82;356.8;338.9;341.2;370.5;337;370.4
83;356.5;338.6;341.2;370.4;336.7;370.2
84;356.2;338.4;341.4;370.2;336.5;369.9
85;355.9;338.2;341.2;370;336.2;369.6
86;355.6;338;341.1;370;335.9;369.3
87;355.3;337.8;341.3;369.9;335.6;369.1
88;355.1;337.6;341.2;369.7;335.3;368.8
89;354.8;337.3;341;369.2;335.2;368.5
90;354.5;337.1;340.6;367.7;334.8;368.2
91;354.2;336.9;340.3;367;334.6;368
92;353.9;336.7;340.1;365.7;334.4;367.7
93;353.6;336.5;339.8;365.6;334.1;367.5
94;353.1;336.3;339.5;366.1;333.7;367.1
95;352.9;336.1;339.2;366.2;333.5;367
96;352.5;335.9;339.1;366.3;333.3;366.7
97;352.2;335.6;338.9;366.2;333;366.4
98;352;335.4;338.6;366;332.7;366.1
99;351.7;335.2;338.5;365.9;332.4;365.9
100;351.4;335;338.3;365.5;332.2;365.6
101;351.2;334.8;338;365.2;332;365.3
102;350.9;334.6;337.7;365;331.6;365
103;350.6;334.2;337.6;364.7;331.3;364.8
104;350.3;334;337.3;364.4;331.1;364.5
105;350.1;333.7;337;364.1;330.9;364.2
106;349.8;333.5;336.6;363.9;330.5;363.9
107;349.5;333.3;336.5;363.6;330.3;363.8
108;349.2;333.1;336.2;363.2;330.1;363.5
109;349;332.9;335.9;362.8;329.8;363.2
110;348.7;332.7;335.6;362.6;329.5;362.9
111;348.4;332.5;335.5;362.3;329.2;362.8
112;348.1;332.2;335.1;361.9;329;362.5
113;347.9;332;334.9;361.6;328.8;362.1
114;347.6;331.8;334.6;361.4;328.5;361.9
115;347.3;331.6;334.5;361.1;328.2;361.7
116;347;331.4;334.2;360.7;328;361.4
117;346.8;331.1;333.9;360.4;327.7;361.1
118;346.5;330.9;333.6;360.2;327.4;360.8
119;346.3;330.7;333.4;359.9;327.1;360.7
120;346;330.5;333.1;359.5;326.9;360.4
121;345.7;330.3;332.8;359.2;326.6;360.1
122;345.5;330.1;332.5;359.1;326.3;359.8
123;345.2;329.9;332.3;358.8;326;359.7
124;344.9;329.7;332;358.4;325.9;359.3
125;344.7;329.4;331.8;358.1;325.6;359.1
126;344.4;329.2;331.6;357.9;325.3;358.9
127;344.1;329.1;331.3;357.5;325.1;358.6
128;343.9;328.9;331.1;357.2;324.8;358.3
129;343.6;328.6;330.9;356.8;324.5;358
130;343.3;328.4;330.6;356.7;324.3;357.9
131;343.1;328.2;330.5;356.4;324.1;357.6
132;342.8;328;330.2;356.1;323.8;357.3
133;342.5;327.8;329.9;355.7;323.5;357
134;342.3;327.6;329.7;355.6;323.2;356.8
135;342;327.4;329.5;355.2;323.1;356.5
136;341.8;327.2;329.2;354.9;322.8;356.3
137;341.5;327;328.9;354.8;322.5;356
138;341.2;326.8;328.8;354.4;322.2;355.8
139;341;326.6;328.6;354.1;322.1;355.5
140;340.7;326.4;328.3;353.8;321.8;355.2
141;340.4;326.2;328;353.6;321.5;354.9
142;340.2;326;327.8;353.3;321.2;354.7
143;339.9;325.8;327.5;352.9;321.1;354.5
144;339.7;325.6;327.3;352.6;320.8;354.2
145;339.4;325.3;326.9;352.5;320.5;353.9
146;339.2;325.1;326.8;352.1;320.2;353.7
147;338.9;324.9;326.5;351.8;320;353.4
148;338.6;324.7;326.2;351.5;319.8;353.1
149;338.3;324.5;325.9;351.3;319.4;352.8
150;338.1;324.3;325.7;351;319.3;352.6
151;337.9;324.2;325.4;350.7;319;352.3
152;337.6;324;325.2;350.4;318.8;352.1
153;337.3;323.7;324.8;350.2;318.4;351.9
154;337.1;323.6;324.7;349.9;318.3;351.6
155;336.8;323.4;324.4;349.6;318;351.3
156;336.5;323.2;324.2;349.3;317.7;351
157;336.3;323;323.9;349.1;317.4;350.9
158;336;322.8;323.8;348.8;317.3;350.6
159;335.7;322.6;323.4;348.5;317;350.3
160;335.5;322.5;323.1;348.1;316.7;350
161;335.2;322.2;322.8;348;316.4;349.9
162;334.9;322.1;322.7;347.6;316.3;349.6
163;334.7;321.9;322.4;347.3;316;349.3
164;334.5;321.7;322.1;347.2;315.7;349
165;334.2;321.5;322;346.9;315.4;348.8
166;333.9;321.3;321.7;346.5;315.3;348.6
167;333.4;321.1;321.4;346.3;315;348.2
168;333.2;321;321.2;346.1;314.7;348
169;332.9;320.8;320.9;345.8;314.5;347.8
170;332.6;320.6;320.8;345.5;314.3;347.5
171;332.4;320.4;320.5;345.2;314;347.2
172;332.1;320.2;320.3;345.1;313.8;346.9
173;331.9;320;320.2;344.7;313.5;346.8
174;331.6;319.8;319.9;344.4;313.4;346.5
175;331.3;319.7;319.7;344.1;313.1;346.2
176;331.1;319.3;319.5;343.8;312.8;346
177;330.8;319.1;319.3;343.6;312.5;345.8
178;330.6;318.9;319.2;343.3;312.4;345.5
179;330.3;318.7;318.9;343;312.1;345.2
180;330.1;318.5;318.7;342.9;311.8;345
181;329.8;318.3;318.5;342.6;311.6;344.8
182;329.6;318.2;318.3;342.3;311.4;344.5
183;329.3;317.9;318;342;311.1;344.2
184;329;317.7;317.8;341.8;310.8;343.9
185;328.8;317.6;317.6;341.5;310.7;343.8
