2Theta	Intensidade
30,01969542	188
30,05908627	174
30,09847711	173
30,13786796	156
30,17725881	162
30,21664965	171
30,2560405	182
30,29543135	190
30,33482219	157
30,37421304	169
30,41360389	155
30,45299473	164
30,49238558	164
30,53177643	161
30,57116727	173
30,61055812	168
30,64994897	172
30,68933981	134
30,72873066	183
30,76812151	179
30,80751235	173
30,8469032	180
30,88629405	170
30,92568489	156
30,96507574	169
31,00446659	152
31,04385743	166
31,08324828	178
31,12263913	180
31,16202997	169
31,20142082	166
31,24081167	186
31,28020251	148
31,31959336	165
31,35898421	159
31,39837505	153
31,4377659	151
31,47715675	159
31,51654759	140
31,55593844	195
31,59532929	163
31,63472013	168
31,67411098	156
31,71350183	194
31,75289267	171
31,79228352	162
31,83167437	192
31,87106521	164
31,91045606	141
31,94984691	174
31,98923775	197
32,0286286	163
32,06801945	165
32,10741029	141
32,14680114	155
32,18619199	164
32,22558283	164
32,26497368	173
32,30436453	163
32,34375537	142
32,38314622	122
32,42253707	145
32,46192791	166
32,50131876	161
32,54070961	146
32,58010045	134
32,6194913	170
32,65888215	133
32,69827299	157
32,73766384	172
32,77705469	182
32,81644553	164
32,85583638	151
32,89522723	152
32,93461807	156
32,97400892	146
33,01339977	164
33,05279061	145
33,09218146	157
33,13157231	167
33,17096315	151
33,210354	145
33,24974485	170
33,28913569	157
33,32852654	170
33,36791739	159
33,40730823	148
33,44669908	157
33,48608993	151
33,52548077	173
33,56487162	155
33,60426247	150
33,64365331	164
33,68304416	157
33,72243501	151
33,76182585	166
33,8012167	132
33,84060755	167
33,87999839	142
33,91938924	167
33,95878009	152
33,99817093	158
34,03756178	159
34,07695263	158
34,11634347	163
34,15573432	162
34,19512517	142
34,23451601	157
34,27390686	159
34,31329771	184
34,35268855	172
34,3920794	168
34,43147025	161
34,47086109	169
34,51025194	218
34,54964279	238
34,58903363	270
34,62842448	376
34,66781533	373
34,70720617	236
34,74659702	178
34,78598787	172
34,82537871	172
34,86476956	160
34,90416041	194
34,94355125	166
34,9829421	143
35,02233295	144
35,06172379	177
35,10111464	148
35,14050549	127
35,17989633	174
35,21928718	171
35,25867803	146
35,29806887	144
35,33745972	166
35,37685057	151
35,41624141	150
35,45563226	145
35,49502311	162
35,53441395	128
35,5738048	143
35,61319565	175
35,65258649	182
35,69197734	151
35,73136819	175
35,77075903	127
35,81014988	152
35,84954073	161
35,88893157	153
35,92832242	187
35,96771327	119
36,00710411	137
36,04649496	156
36,08588581	154
36,12527665	149
36,1646675	149
36,20405835	167
36,24344919	141
36,28284004	128
36,32223089	141
36,36162173	120
36,40101258	138
36,44040343	140
36,47979427	151
36,51918512	143
36,55857597	146
36,59796681	120
36,63735766	126
36,67674851	145
36,71613935	147
36,7555302	140
36,79492105	140
36,83431189	144
36,87370274	153
36,91309359	158
36,95248443	158
36,99187528	163
37,03126613	204
37,07065697	194
37,11004782	253
37,14943867	313
37,18882951	340
37,22822036	343
37,26761121	342
37,30700205	357
37,3463929	349
37,38578375	351
37,42517459	362
37,46456544	348
37,50395629	316
37,54334713	348
37,58273798	329
37,62212883	352
37,66151967	340
37,70091052	439
37,74030137	398
37,77969221	362
37,81908306	407
37,8584739	412
37,89786475	388
37,9372556	440
37,97664644	426
38,01603729	446
38,05542814	506
38,09481898	546
38,13420983	636
38,17360068	762
38,21299152	1069
38,25238237	1485
38,29177322	2729
38,33116406	6737
38,37055491	13072
38,40994576	20086
38,4493366	45746
38,48872745	80066
38,5281183	32429
38,56750914	36622
38,60689999	27137
38,64629084	6516
38,68568168	3162
38,72507253	2060
38,76446338	1430
38,80385422	1068
38,84324507	684
38,88263592	548
38,92202676	461
38,96141761	495
39,00080846	418
39,0401993	430
39,07959015	401
39,118981	363
39,15837184	362
39,19776269	338
39,23715354	321
39,27654438	316
39,31593523	307
39,35532608	288
39,39471692	264
39,43410777	279
39,47349862	263
39,51288946	288
39,55228031	261
39,59167116	282
39,631062	261
39,67045285	233
39,7098437	212
39,74923454	258
39,78862539	206
39,82801624	203
39,86740708	235
39,90679793	237
39,94618878	221
39,98557962	203
40,02497047	206
40,06436132	185
40,10375216	212
40,14314301	209
40,18253386	211
40,2219247	208
40,26131555	195
40,3007064	199
40,34009724	173
40,37948809	218
40,41887894	175
40,45826978	192
