2Theta	Intensidade
30,02769542	1120
30,06708627	1135
30,10647711	1133
30,14586796	1079
30,18525881	1110
30,22464965	1105
30,2640405	1106
30,30343135	1122
30,34282219	1114
30,38221304	1121
30,42160389	1045
30,46099473	1084
30,50038558	1184
30,53977643	1160
30,57916727	1166
30,61855812	1042
30,65794897	1122
30,69733981	1049
30,73673066	1154
30,77612151	1146
30,81551235	1082
30,8549032	1158
30,89429405	1085
30,93368489	1029
30,97307574	1072
31,01246659	1121
31,05185743	1017
31,09124828	1127
31,13063913	1106
31,17002997	1139
31,20942082	1083
31,24881167	1178
31,28820251	1081
31,32759336	1088
31,36698421	1097
31,40637505	1091
31,4457659	1084
31,48515675	1093
31,52454759	1062
31,56393844	1051
31,60332929	1087
31,64272013	1049
31,68211098	1031
31,72150183	1061
31,76089267	1066
31,80028352	1057
31,83967437	1071
31,87906521	1080
31,91845606	1101
31,95784691	1063
31,99723775	1054
32,0366286	1084
32,07601945	1068
32,11541029	1053
32,15480114	1061
32,19419199	1080
32,23358283	1012
32,27297368	1019
32,31236453	1055
32,35175537	1131
32,39114622	1073
32,43053707	1051
32,46992791	1071
32,50931876	1117
32,54870961	1051
32,58810045	1169
32,6274913	1075
32,66688215	971
32,70627299	1066
32,74566384	1078
32,78505469	1052
32,82444553	979
32,86383638	1089
32,90322723	1093
32,94261807	1131
32,98200892	1114
33,02139977	1040
33,06079061	1155
33,10018146	1077
33,13957231	1115
33,17896315	1117
33,218354	1108
33,25774485	1055
33,29713569	1089
33,33652654	1008
33,37591739	1059
33,41530823	1063
33,45469908	1085
33,49408993	1077
33,53348077	1155
33,57287162	1055
33,61226247	1111
33,65165331	1030
33,69104416	1041
33,73043501	1106
33,76982585	1042
33,8092167	1045
33,84860755	1020
33,88799839	1074
33,92738924	1064
33,96678009	1137
34,00617093	1051
34,04556178	1056
34,08495263	1062
34,12434347	1059
34,16373432	1028
34,20312517	1031
34,24251601	1068
34,28190686	997
34,32129771	1022
34,36068855	1074
34,4000794	1091
34,43947025	1078
34,47886109	1084
34,51825194	1085
34,55764279	1115
34,59703363	1044
34,63642448	1070
34,67581533	1011
34,71520617	1083
34,75459702	1032
34,79398787	1081
34,83337871	1004
34,87276956	1025
34,91216041	1007
34,95155125	1063
34,9909421	1083
35,03033295	1034
35,06972379	1088
35,10911464	1041
35,14850549	1052
35,18789633	1060
35,22728718	1032
35,26667803	1012
35,30606887	1032
35,34545972	1095
35,38485057	1079
35,42424141	1056
35,46363226	999
35,50302311	1059
35,54241395	1069
35,5818048	1020
35,62119565	1050
35,66058649	1030
35,69997734	1042
35,73936819	1098
35,77875903	1083
35,81814988	1045
