2Theta	Intensidade
20,01969542	787
20,05908627	721
20,09847711	789
20,13786796	780
20,17725881	785
20,21664965	744
20,2560405	698
20,29543135	767
20,33482219	683
20,37421304	659
20,41360389	738
20,45299473	702
20,49238558	775
20,53177643	684
20,57116727	710
20,61055812	736
20,64994897	786
20,68933981	658
20,72873066	754
20,76812151	775
20,80751235	681
20,8469032	688
20,88629405	714
20,92568489	684
20,96507574	754
21,00446659	649
21,04385743	677
21,08324828	658
21,12263913	681
21,16202997	619
21,20142082	660
21,24081167	685
21,28020251	657
21,31959336	678
21,35898421	655
21,39837505	642
21,4377659	593
21,47715675	589
21,51654759	616
21,55593844	632
21,59532929	589
21,63472013	606
21,67411098	663
21,71350183	628
21,75289267	606
21,79228352	656
21,83167437	596
21,87106521	624
21,91045606	609
21,94984691	643
21,98923775	621
22,0286286	643
22,06801945	557
22,10741029	572
22,14680114	599
22,18619199	607
22,22558283	599
22,26497368	573
22,30436453	550
22,34375537	549
22,38314622	581
22,42253707	540
22,46192791	620
22,50131876	566
22,54070961	604
22,58010045	587
22,6194913	625
22,65888215	588
22,69827299	576
22,73766384	526
22,77705469	578
22,81644553	567
22,85583638	577
22,89522723	555
22,93461807	559
22,97400892	515
23,01339977	575
23,05279061	541
23,09218146	544
23,13157231	524
23,17096315	583
23,210354	515
23,24974485	575
23,28913569	480
23,32852654	494
23,36791739	504
23,40730823	478
23,44669908	521
23,48608993	535
23,52548077	534
23,56487162	522
23,60426247	489
23,64365331	532
23,68304416	501
23,72243501	568
23,76182585	459
23,8012167	476
23,84060755	517
23,87999839	452
23,91938924	541
23,95878009	486
23,99817093	513
24,03756178	520
24,07695263	498
24,11634347	443
24,15573432	539
24,19512517	450
24,23451601	484
24,27390686	514
24,31329771	453
24,35268855	497
24,3920794	487
24,43147025	489
24,47086109	482
24,51025194	494
24,54964279	450
24,58903363	441
24,62842448	465
24,66781533	516
24,70720617	497
24,74659702	514
24,78598787	532
24,82537871	460
24,86476956	489
24,90416041	470
24,94355125	497
24,9829421	459
25,02233295	481
25,06172379	486
25,10111464	444
25,14050548	431
25,17989633	458
25,21928718	446
25,25867802	482
25,29806887	463
25,33745972	503
25,37685056	450
25,41624141	491
25,45563226	445
25,4950231	451
25,53441395	440
25,5738048	481
25,61319564	457
25,65258649	475
25,69197734	489
25,73136818	479
25,77075903	453
25,81014988	447
25,84954072	458
25,88893157	481
25,92832242	447
25,96771326	474
26,00710411	447
26,04649496	491
26,0858858	477
26,12527665	446
26,1646675	453
26,20405834	444
26,24344919	415
26,28284004	450
26,32223088	515
26,36162173	492
26,40101258	428
26,44040342	425
26,47979427	468
26,51918512	449
26,55857596	432
26,59796681	434
26,63735766	502
26,6767485	461
26,71613935	462
26,7555302	440
26,79492104	428
26,83431189	440
26,87370274	481
26,91309358	433
26,95248443	452
26,99187528	449
27,03126612	439
27,07065697	476
27,11004782	459
27,14943866	458
27,18882951	461
27,22822036	483
27,2676112	559
27,30700205	655
27,3463929	728
27,38578374	792
27,42517459	903
27,46456544	848
27,50395628	825
27,54334713	790
27,58273798	680
27,62212882	564
27,66151967	463
27,70091052	466
27,74030136	399
27,77969221	432
27,81908306	416
27,8584739	387
27,89786475	449
27,9372556	408
27,97664644	456
28,01603729	436
28,05542814	449
28,09481898	470
28,13420983	433
28,17360068	429
28,21299152	468
28,25238237	483
28,29177322	429
28,33116406	429
28,37055491	476
28,40994576	466
28,4493366	475
28,48872745	477
28,5281183	513
28,56750914	574
28,60689999	605
28,64629084	660
28,68568168	619
28,72507253	562
28,76446338	574
28,80385422	480
28,84324507	468
28,88263592	446
28,92202676	453
28,96141761	446
29,00080846	481
29,0401993	499
29,07959015	471
29,118981	489
29,15837184	452
29,19776269	398
29,23715354	459
29,27654438	474
29,31593523	426
29,35532608	422
29,39471692	466
29,43410777	443
29,47349862	459
29,51288946	400
29,55228031	404
29,59167116	415
29,631062	395
29,67045285	456
29,7098437	460
29,74923454	480
29,78862539	453
29,82801624	371
29,86740708	400
29,90679793	429
29,94618878	372
29,98557962	429
30,02497047	488
30,06436132	464
30,10375216	469
30,14314301	408
30,18253386	454
30,2219247	407
30,26131555	443
30,3007064	427
30,34009724	435
30,37948809	413
30,41887894	456
30,45826978	440
30,49766063	472
30,53705148	505
30,57644232	541
30,61583317	533
30,65522402	620
30,69461486	655
30,73400571	681
30,77339656	714
30,8127874	766
30,85217825	785
30,8915691	750
30,93095994	748
30,97035079	842
31,00974164	756
31,04913248	799
31,08852333	851
31,12791418	834
31,16730502	831
31,20669587	856
31,24608672	836
31,28547756	898
31,32486841	894
31,36425926	958
31,4036501	1117
31,44304095	1623
31,4824318	2498
31,52182264	4152
31,56121349	7681
31,60060434	14532
31,63999518	22924
31,67938603	30340
31,71877688	39935
31,75816772	53251
31,79755857	61350
31,83694942	58373
31,87634026	45210
31,91573111	29310
31,95512196	14739
31,9945128	6815
32,03390365	2833
32,0732945	1628
32,11268534	1213
32,15207619	1013
32,19146704	887
32,23085788	880
32,27024873	806
32,30963958	764
32,34903042	796
32,38842127	691
32,42781212	728
32,46720296	752
32,50659381	695
32,54598466	663
32,5853755	631
32,62476635	636
32,6641572	655
32,70354804	641
32,74293889	551
32,78232974	563
32,82172058	529
32,86111143	536
32,90050227	523
32,93989312	556
32,97928397	561
33,01867481	504
33,05806566	562
33,09745651	538
33,13684735	506
33,1762382	482
33,21562905	512
33,25501989	502
33,29441074	442
33,33380159	480
33,37319243	489
33,41258328	515
33,45197413	468
33,49136497	454
33,53075582	477
33,57014667	448
33,60953751	473
33,64892836	399
33,68831921	501
33,72771005	478
33,7671009	469
33,80649175	473
33,84588259	437
33,88527344	485
33,92466429	434
33,96405513	417
34,00344598	432
34,04283683	460
34,08222767	413
34,12161852	420
34,16100937	423
34,20040021	441
34,23979106	425
34,27918191	446
34,31857275	483
34,3579636	445
34,39735445	460
34,43674529	554
34,47613614	580
34,51552699	587
34,55491783	551
34,59430868	559
34,63369953	456
34,67309037	439
34,71248122	433
34,75187207	378
34,79126291	369
34,83065376	381
34,87004461	409
34,90943545	353
34,9488263	393
34,98821715	390
35,02760799	422
35,06699884	417
35,10638969	361
35,14578053	374
35,18517138	383
35,22456223	369
35,26395307	367
35,30334392	329
35,34273477	369
35,38212561	363
35,42151646	416
35,46090731	375
35,50029815	342
35,539689	360
35,57907985	363
35,61847069	346
35,65786154	357
35,69725239	344
35,73664323	334
35,77603408	322
35,81542493	345
35,85481577	333
35,89420662	304
35,93359747	328
35,97298831	317
36,01237916	330
36,05177001	378
36,09116085	308
36,1305517	331
36,16994255	322
36,20933339	315
36,24872424	317
36,28811509	279
36,32750593	342
36,36689678	290
36,40628763	303
36,44567847	321
36,48506932	315
36,52446017	289
36,56385101	300
36,60324186	306
36,64263271	298
36,68202355	331
36,7214144	325
36,76080525	319
36,80019609	285
36,83958694	335
36,87897779	297
36,91836863	314
36,95775948	361
36,99715033	345
37,03654117	269
37,07593202	314
37,11532287	337
37,15471371	311
37,19410456	301
37,23349541	297
37,27288625	323
37,3122771	311
37,35166795	304
37,39105879	315
37,43044964	295
37,46984049	283
37,50923133	336
37,54862218	281
37,58801303	290
37,62740387	299
37,66679472	305
37,70618557	332
37,74557641	289
37,78496726	275
37,82435811	293
37,86374895	275
37,9031398	284
37,94253065	299
37,98192149	277
38,02131234	293
38,06070319	288
38,10009403	306
38,13948488	278
38,17887573	269
38,21826657	294
38,25765742	280
38,29704827	280
38,33643911	253
38,37582996	260
38,41522081	286
38,45461165	281
38,4940025	258
38,53339335	270
38,57278419	288
38,61217504	247
38,65156589	308
38,69095673	287
38,73034758	258
38,76973843	257
38,80912927	224
38,84852012	286
38,88791097	290
38,92730181	309
38,96669266	276
39,00608351	250
39,04547435	286
39,0848652	284
39,12425605	275
39,16364689	300
39,20303774	265
39,24242859	269
39,28181943	298
39,32121028	249
39,36060113	270
39,39999197	246
39,43938282	279
39,47877367	265
39,51816451	290
39,55755536	257
39,59694621	271
39,63633705	280
39,6757279	265
39,71511875	264
39,75450959	245
39,79390044	258
39,83329129	274
39,87268213	297
39,91207298	254
39,95146383	291
39,99085467	233
40,03024552	264
40,06963637	243
40,10902721	236
40,14841806	265
40,18780891	245
40,22719975	253
40,2665906	233
40,30598145	239
40,34537229	263
40,38476314	205
40,42415399	255
40,46354483	242
40,50293568	255
40,54232653	256
40,58171737	247
40,62110822	248
40,66049906	269
40,69988991	233
40,73928076	237
40,7786716	245
40,81806245	223
40,8574533	236
40,89684414	248
40,93623499	265
40,97562584	256
41,01501668	204
41,05440753	239
41,09379838	250
41,13318922	241
41,17258007	213
41,21197092	270
41,25136176	226
41,29075261	242
41,33014346	247
41,3695343	245
41,40892515	240
41,448316	239
41,48770684	220
41,52709769	222
41,56648854	265
41,60587938	260
41,64527023	247
41,68466108	232
41,72405192	246
41,76344277	251
41,80283362	241
41,84222446	247
41,88161531	254
41,92100616	227
41,960397	246
41,99978785	231
42,0391787	251
42,07856954	214
42,11796039	228
42,15735124	246
42,19674208	222
42,23613293	211
42,27552378	197
42,31491462	216
42,35430547	223
42,39369632	247
42,43308716	221
42,47247801	246
42,51186886	238
42,5512597	224
42,59065055	216
42,6300414	207
42,66943224	229
42,70882309	222
42,74821394	242
42,78760478	213
42,82699563	179
42,86638648	223
42,90577732	249
42,94516817	218
42,98455902	206
43,02394986	208
43,06334071	236
43,10273156	228
43,1421224	214
43,18151325	239
43,2209041	243
43,26029494	193
43,29968579	239
43,33907664	209
43,37846748	225
43,41785833	227
43,45724918	216
43,49664002	190
43,53603087	186
43,57542172	227
43,61481256	211
43,65420341	234
43,69359426	226
43,7329851	228
43,77237595	227
43,8117668	222
43,85115764	240
43,89054849	220
43,92993934	207
43,96933018	226
44,00872103	232
44,04811188	233
44,08750272	213
44,12689357	258
44,16628442	224
44,20567526	208
44,24506611	207
44,28445696	251
44,3238478	228
44,36323865	243
44,4026295	235
44,44202034	253
44,48141119	225
44,52080204	241
44,56019288	226
44,59958373	238
44,63897458	216
44,67836542	257
44,71775627	218
44,75714712	235
44,79653796	210
44,83592881	214
44,87531966	223
44,9147105	212
44,95410135	283
44,9934922	249
45,03288304	215
45,07227389	235
45,11166474	296
45,15105558	242
45,19044643	303
45,22983728	381
45,26922812	467
45,30861897	734
45,34800982	1123
45,38740066	1589
45,42679151	1832
45,46618236	2176
45,5055732	2375
45,54496405	2369
45,5843549	2241
45,62374574	1927
45,66313659	1361
45,70252744	1056
45,74191828	800
45,78130913	478
45,82069998	322
45,86009082	259
45,89948167	262
45,93887252	238
45,97826336	255
46,01765421	222
46,05704506	247
46,0964359	201
46,13582675	225
46,1752176	245
46,21460844	236
46,25399929	252
46,29339014	243
46,33278098	243
46,37217183	204
46,41156268	222
46,45095352	216
46,49034437	204
46,52973522	225
46,56912606	212
46,60851691	193
46,64790776	203
46,6872986	194
46,72668945	218
46,7660803	233
46,80547114	177
46,84486199	196
46,88425284	218
46,92364368	215
46,96303453	210
47,00242538	190
47,04181622	230
47,08120707	190
47,12059792	193
47,15998876	194
47,19937961	235
47,23877046	205
47,2781613	190
47,31755215	187
47,356943	187
47,39633384	216
47,43572469	195
47,47511554	206
47,51450638	222
47,55389723	226
47,59328808	167
47,63267892	183
47,67206977	188
47,71146062	185
47,75085146	204
47,79024231	174
47,82963316	174
47,869024	193
47,90841485	209
47,9478057	207
47,98719654	184
48,02658739	224
48,06597824	185
48,10536908	218
48,14475993	192
48,18415078	184
48,22354162	201
48,26293247	168
48,30232332	203
48,34171416	180
48,38110501	161
48,42049585	173
48,4598867	192
48,49927755	209
48,53866839	180
48,57805924	169
48,61745009	172
48,65684093	191
48,69623178	178
48,73562263	174
48,77501347	204
48,81440432	166
48,85379517	187
48,89318601	187
48,93257686	177
48,97196771	187
49,01135855	168
49,0507494	190
49,09014025	184
49,12953109	180
49,16892194	168
49,20831279	184
49,24770363	172
49,28709448	198
49,32648533	203
49,36587617	193
49,40526702	162
49,44465787	181
49,48404871	186
49,52343956	196
49,56283041	173
49,60222125	176
49,6416121	182
49,68100295	167
49,72039379	171
49,75978464	191
49,79917549	178
49,83856633	165
49,87795718	179
49,91734803	170
49,95673887	171
49,99612972	195
50,03552057	174
50,07491141	161
