2Theta	Intensidade
20,01313028	518
20,03939085	468
20,06565141	528
20,09191198	488
20,11817254	477
20,14443311	517
20,17069367	478
20,19695424	473
20,2232148	480
20,24947537	469
20,27573593	500
20,3019965	491
20,32825706	417
20,35451763	489
20,38077819	478
20,40703876	484
20,43329932	456
20,45955989	469
20,48582045	450
20,51208102	419
20,53834158	407
20,56460215	497
20,59086271	439
20,61712328	460
20,64338384	475
20,66964441	466
20,69590497	472
20,72216554	483
20,7484261	452
20,77468667	470
20,80094723	439
20,8272078	449
20,85346836	453
20,87972893	463
20,90598949	484
20,93225006	457
20,95851062	415
20,98477119	407
21,01103175	403
21,03729232	449
21,06355288	403
21,08981345	462
21,11607401	435
21,14233458	430
21,16859514	411
21,19485571	451
21,22111627	414
21,24737684	411
21,2736374	426
21,29989797	407
21,32615853	404
21,3524191	401
21,37867966	416
21,40494023	440
21,43120079	403
21,45746136	398
21,48372192	403
21,50998249	410
21,53624305	430
21,56250362	406
21,58876418	398
21,61502475	385
21,64128531	381
21,66754588	400
21,69380644	424
21,72006701	380
21,74632757	382
21,77258814	387
21,7988487	406
21,82510927	371
21,85136983	400
21,8776304	415
21,90389096	371
21,93015153	395
21,95641209	399
21,98267266	375
22,00893322	380
22,03519379	383
22,06145435	369
22,08771492	399
22,11397548	367
22,14023605	364
22,16649661	384
22,19275718	369
22,21901774	413
22,24527831	345
22,27153887	366
22,29779944	385
22,32406	400
22,35032057	349
22,37658113	351
22,4028417	370
22,42910226	369
22,45536283	386
22,48162339	401
22,50788396	346
22,53414452	334
22,56040509	376
22,58666565	342
22,61292622	326
22,63918678	360
22,66544735	342
22,69170791	355
22,71796848	347
22,74422904	333
22,77048961	347
22,79675017	335
22,82301074	370
22,8492713	359
22,87553187	361
22,90179243	348
22,928053	354
22,95431356	323
22,98057413	355
23,00683469	353
23,03309526	339
23,05935582	333
23,08561639	347
23,11187695	347
23,13813752	331
23,16439808	339
23,19065865	354
23,21691921	330
23,24317978	348
23,26944034	302
23,29570091	294
23,32196147	315
23,34822204	350
23,3744826	304
23,40074317	335
