index;Load(kN);Defor(mm);Stroke(mm);Time(s)
0;0;0;0;0
1;0.02;0.708;0.052;0.055
2;0.04;0.694;0.149;0.115
3;0.04;0.7;0.249;0.175
4;0.06;0.704;0.347;0.235
5;0.06;0.706;0.449;0.295
6;0.04;0.706;0.548;0.355
7;0.04;0.706;0.647;0.415
8;0.04;0.706;0.749;0.475
9;0.04;0.706;0.847;0.535
10;0.06;0.706;0.949;0.595
11;0.12;0.706;1.048;0.655
12;0.16;0.706;1.149;0.715
13;0.2;0.706;1.247;0.775
14;0.26;0.704;1.349;0.835
15;0.3;0.704;1.449;0.895
16;0.32;0.706;1.549;0.955
17;0.36;0.704;1.65;1.015
18;0.38;0.706;1.749;1.075
19;0.42;0.706;1.85;1.135
20;0.44;0.704;1.95;1.195
21;0.46;0.704;2.051;1.255
22;0.48;0.704;2.151;1.315
23;0.5;0.704;2.25;1.375
24;0.52;0.704;2.351;1.435
25;0.52;0.704;2.451;1.495
26;0.54;0.704;2.553;1.555
27;0.56;0.704;2.652;1.615
28;0.58;0.704;2.754;1.675
29;0.6;0.704;2.854;1.735
30;0.6;0.704;2.955;1.795
31;0.6;0.704;3.055;1.855
32;0.62;0.704;3.154;1.915
33;0.62;0.704;3.255;1.975
34;0.62;0.704;3.355;2.035
35;0.62;0.704;3.456;2.095
36;0.62;0.704;3.556;2.155
37;0.62;0.704;3.656;2.215
38;0.6;0.702;3.756;2.275
39;0.6;0.702;3.857;2.335
40;0.6;0.702;3.957;2.395
41;0.58;0.702;4.057;2.455
42;0.58;0.702;4.159;2.515
43;0.58;0.702;4.259;2.575
44;0.58;0.702;4.36;2.635
45;0.56;0.702;4.457;2.695
46;0.56;0.7;4.559;2.755
47;0.56;0.7;4.659;2.815
48;0.56;0.7;4.757;2.875
49;0.54;0.7;4.859;2.935
50;0.54;0.7;4.959;2.995
51;0.54;0.7;5.06;3.055
52;0.54;0.7;5.16;3.115
53;0.54;0.702;5.26;3.175
54;0.54;0.7;5.359;3.235
55;0.52;0.7;5.46;3.295
56;0.52;0.7;5.559;3.355
57;0.52;0.7;5.659;3.415
58;0.52;0.7;5.76;3.475
59;0.52;0.7;5.86;3.535
60;0.52;0.7;5.961;3.595
61;0.52;0.7;6.061;3.655
62;0.5;0.7;6.16;3.715
63;0.5;0.7;6.26;3.775
64;0.5;0.7;6.361;3.835
65;0.5;0.7;6.461;3.895
66;0.5;0.7;6.56;3.955
67;0.5;0.7;6.662;4.015
68;0.48;0.7;6.762;4.075
69;0.48;0.7;6.864;4.135
70;0.48;0.7;6.961;4.195
71;0.46;0.7;7.064;4.255
72;0.46;0.7;7.162;4.315
73;0.42;0.7;7.262;4.375
74;0.06;0.696;7.365;4.435
75;0.06;0.698;7.464;4.495
76;0.06;0.698;7.566;4.555
77;0.06;0.698;7.666;4.615
78;0.06;0.698;7.767;4.675
79;0.06;0.698;7.866;4.735
80;0.06;0.698;7.967;4.795
81;0.06;0.698;8.068;4.855
82;0.06;0.698;8.167;4.915
83;0.06;0.698;8.269;4.975
84;0.06;0.698;8.367;5.035
85;0.06;0.698;8.469;5.095
86;0.06;0.698;8.569;5.155
87;0.06;0.698;8.67;5.215
88;0.06;0.698;8.769;5.275
89;0.06;0.7;8.87;5.335
90;0.06;0.698;8.97;5.395
91;0.06;0.698;9.069;5.455
92;0.06;0.698;9.17;5.515
93;0.06;0.7;9.27;5.575
94;0.06;0.7;9.371;5.635
95;0.06;0.7;9.47;5.695
96;0.06;0.698;9.571;5.755
97;0.06;0.698;9.671;5.815
98;0.06;0.698;9.77;5.875
99;0.06;0.698;9.872;5.935
100;0.06;0.698;9.971;5.995
101;0.06;0.698;10.073;6.055
102;0.06;0.698;10.172;6.115
103;0.06;0.698;10.274;6.175
104;0.06;0.698;10.374;6.235
105;0.06;0.698;10.475;6.295
106;0.06;0.698;10.574;6.355
107;0.06;0.698;10.674;6.415
108;0.06;0.698;10.775;6.475
109;0.06;0.698;10.875;6.535
110;0.06;0.698;10.976;6.595
111;0.06;0.698;11.076;6.655
112;0.06;0.698;11.177;6.715
113;0.06;0.698;11.278;6.775
114;0.06;0.698;11.379;6.835
115;0.06;0.698;11.479;6.895
116;0.06;0.698;11.579;6.955
117;0.06;0.698;11.68;7.015
118;0.06;0.698;11.78;7.075
119;0.06;0.7;11.881;7.135
