Order;Load(kN);Defor(mm);Stroke(mm);Time(s)
0;0;0;0;0
1;0;0;0;0.055
2;0;0.0162;0.016;0.115
3;0.02;0.0362;0.036;0.175
4;0.02;0.0562;0.056;0.235
5;0.02;0.0763;0.076;0.295
6;0.04;0.0962;0.096;0.355
7;0.04;0.1163;0.116;0.415
8;0.04;0.1363;0.136;0.475
9;0.04;0.1562;0.156;0.535
10;0.04;0.1762;0.176;0.595
11;0.06;0.1962;0.196;0.655
12;0.06;0.2163;0.216;0.715
13;0.08;0.2362;0.236;0.775
14;0.08;0.2562;0.256;0.835
15;0.1;0.2763;0.276;0.895
16;0.1;0.2962;0.296;0.955
17;0.12;0.3162;0.316;1.015
18;0.12;0.3375;0.338;1.075
19;0.14;0.3562;0.356;1.135
20;0.14;0.3775;0.377;1.195
21;0.16;0.3975;0.397;1.255
22;0.16;0.4175;0.417;1.315
23;0.16;0.4375;0.438;1.375
24;0.18;0.4562;0.456;1.435
25;0.18;0.4775;0.477;1.495
26;0.2;0.4975;0.498;1.555
27;0.2;0.5175;0.517;1.615
28;0.2;0.5375;0.537;1.675
29;0.22;0.5575;0.558;1.735
30;0.22;0.5775;0.577;1.795
31;0.24;0.5975;0.597;1.855
32;0.24;0.6175;0.618;1.915
33;0.24;0.6375;0.637;1.975
34;0.26;0.6575;0.657;2.035
35;0.26;0.6775;0.678;2.095
36;0.26;0.6975;0.697;2.155
37;0.26;0.7175;0.717;2.215
38;0.28;0.7375;0.738;2.275
39;0.28;0.7575;0.757;2.335
40;0.28;0.7775;0.777;2.395
41;0.28;0.7975;0.797;2.455
42;0.3;0.8175;0.817;2.515
43;0.3;0.8375;0.837;2.575
44;0.3;0.8575;0.857;2.635
45;0.32;0.8775;0.877;2.695
46;0.32;0.8975;0.897;2.755
47;0.32;0.9175;0.917;2.815
48;0.32;0.9375;0.938;2.875
49;0.32;0.9575;0.957;2.935
50;0.34;0.9775;0.977;2.995
51;0.34;0.9975;0.998;3.055
52;0.34;1.0175;1.017;3.115
53;0.34;1.0375;1.038;3.175
54;0.34;1.0575;1.058;3.235
55;0.34;1.0775;1.077;3.295
56;0.36;1.0975;1.097;3.355
57;0.36;1.1175;1.117;3.415
58;0.36;1.1375;1.137;3.475
59;0.36;1.1575;1.158;3.535
60;0.36;1.1775;1.178;3.595
61;0.38;1.1975;1.197;3.655
62;0.38;1.2175;1.217;3.715
63;0.38;1.2375;1.237;3.775
64;0.38;1.2575;1.257;3.835
65;0.38;1.2775;1.277;3.895
66;0.38;1.2975;1.298;3.955
67;0.38;1.3175;1.317;4.015
68;0.38;1.3375;1.337;4.075
69;0.4;1.3575;1.357;4.135
70;0.4;1.3775;1.377;4.195
71;0.4;1.3975;1.397;4.255
72;0.4;1.4175;1.418;4.315
73;0.4;1.4375;1.438;4.375
74;0.4;1.4575;1.457;4.435
75;0.4;1.4775;1.477;4.495
76;0.42;1.4975;1.497;4.555
77;0.42;1.5175;1.517;4.615
78;0.42;1.5375;1.538;4.675
79;0.42;1.5575;1.558;4.735
80;0.42;1.5775;1.577;4.795
81;0.42;1.5987;1.599;4.855
82;0.42;1.6175;1.617;4.915
83;0.42;1.6375;1.637;4.975
