index;Load(kN);Defor(mm);Stroke(mm);Time(s)
0;0;0;0;0
1;0;0.51;0;0.055
2;0;0.51;0;0.115
3;0;0.51;0.005;0.175
4;0.02;0.51;0.01;0.235
5;0.02;0.512;0.015;0.295
6;0.02;0.512;0.02;0.355
7;0.04;0.512;0.025;0.415
8;0.04;0.512;0.029;0.475
9;0.06;0.512;0.035;0.535
10;0.06;0.514;0.04;0.595
11;0.06;0.514;0.044;0.655
12;0.06;0.514;0.05;0.715
13;0.06;0.514;0.055;0.775
14;0.06;0.514;0.059;0.835
15;0.06;0.514;0.064;0.895
16;0.06;0.514;0.069;0.955
17;0.06;0.514;0.074;1.015
18;0.06;0.514;0.079;1.075
19;0.06;0.514;0.084;1.135
20;0.06;0.514;0.089;1.195
21;0.06;0.514;0.094;1.255
22;0.06;0.514;0.099;1.315
23;0.06;0.514;0.104;1.375
24;0.06;0.514;0.109;1.435
25;0.06;0.514;0.114;1.495
26;0.06;0.514;0.119;1.555
27;0.06;0.514;0.124;1.615
28;0.06;0.514;0.129;1.675
29;0.06;0.514;0.134;1.735
30;0.06;0.514;0.139;1.795
31;0.06;0.514;0.144;1.855
32;0.06;0.514;0.149;1.915
33;0.06;0.514;0.154;1.975
34;0.06;0.514;0.159;2.035
35;0.06;0.514;0.164;2.095
36;0.06;0.514;0.169;2.155
37;0.06;0.514;0.174;2.215
38;0.06;0.514;0.179;2.275
39;0.06;0.514;0.184;2.335
40;0.06;0.514;0.189;2.395
41;0.06;0.514;0.194;2.455
42;0.06;0.514;0.199;2.515
43;0.06;0.516;0.204;2.575
44;0.06;0.516;0.209;2.635
45;0.06;0.516;0.214;2.695
46;0.06;0.514;0.219;2.755
47;0.06;0.516;0.224;2.815
48;0.06;0.516;0.229;2.875
49;0.06;0.516;0.234;2.935
50;0.06;0.514;0.239;2.995
51;0.06;0.516;0.244;3.055
52;0.06;0.516;0.249;3.115
53;0.06;0.516;0.254;3.175
54;0.06;0.516;0.259;3.235
55;0.06;0.516;0.264;3.295
56;0.06;0.516;0.269;3.355
57;0.06;0.516;0.274;3.415
58;0.06;0.516;0.279;3.475
59;0.06;0.516;0.284;3.535
60;0.06;0.516;0.289;3.595
61;0.06;0.516;0.294;3.655
62;0.06;0.516;0.299;3.715
63;0.06;0.516;0.304;3.775
64;0.06;0.516;0.309;3.835
65;0.06;0.516;0.314;3.895
66;0.06;0.516;0.319;3.955
67;0.06;0.516;0.324;4.015
68;0.06;0.516;0.329;4.075
69;0.06;0.516;0.334;4.135
70;0.06;0.516;0.339;4.195
71;0.06;0.516;0.344;4.255
72;0.06;0.516;0.349;4.315
73;0.06;0.516;0.354;4.375
74;0.08;0.516;0.359;4.435
75;0.06;0.516;0.364;4.495
76;0.08;0.516;0.369;4.555
77;0.06;0.516;0.374;4.615
78;0.06;0.516;0.379;4.675
79;0.06;0.516;0.384;4.735
80;0.06;0.516;0.389;4.795
81;0.06;0.516;0.394;4.855
82;0.06;0.516;0.397;4.915
