index;Load(kN);Defor(mm);Stroke(mm);Time(s)
0;0;0;0;0
1;0;0;0;0.055
2;0;0;0;0.115
3;0;0;0;0.175
4;0;0.005;0.005;0.235
5;0;0.0088;0.009;0.295
6;0;0.0137;0.014;0.355
7;0;0.0187;0.019;0.415
8;0;0.0237;0.024;0.475
9;0;0.0287;0.029;0.535
10;0;0.0337;0.034;0.595
11;0;0.0388;0.039;0.655
12;0.04;0.0437;0.044;0.715
13;0.1;0.0487;0.049;0.775
14;0.14;0.0537;0.054;0.835
15;0.16;0.0587;0.059;0.895
16;0.16;0.0637;0.064;0.955
17;0.16;0.0688;0.069;1.015
18;0.16;0.0737;0.074;1.075
19;0.16;0.0787;0.079;1.135
20;0.16;0.0837;0.084;1.195
21;0.16;0.0887;0.089;1.255
22;0.16;0.0938;0.094;1.315
23;0.16;0.0987;0.099;1.375
24;0.16;0.1037;0.104;1.435
25;0.16;0.1088;0.109;1.495
26;0.16;0.1137;0.114;1.555
27;0.16;0.1187;0.119;1.615
28;0.16;0.1237;0.124;1.675
29;0.16;0.1287;0.129;1.735
30;0.18;0.1337;0.134;1.795
31;0.24;0.1388;0.139;1.855
32;0.3;0.1437;0.144;1.915
33;0.36;0.1487;0.149;1.975
34;0.42;0.1538;0.154;2.035
35;0.5;0.1587;0.159;2.095
36;0.58;0.1637;0.164;2.155
37;0.64;0.1688;0.169;2.215
38;0.7;0.1737;0.174;2.275
39;0.76;0.1787;0.179;2.335
40;0.82;0.1837;0.184;2.395
41;0.84;0.1887;0.189;2.455
42;0.88;0.1937;0.194;2.515
43;0.92;0.1987;0.199;2.575
44;0.94;0.2037;0.204;2.635
45;0.98;0.2087;0.209;2.695
46;1;0.2137;0.214;2.755
47;1.02;0.2188;0.219;2.815
48;1.04;0.2237;0.224;2.875
49;1.04;0.2287;0.229;2.935
50;1.06;0.2338;0.234;2.995
51;1.06;0.2387;0.239;3.055
52;1.08;0.2437;0.244;3.115
53;1.08;0.2488;0.249;3.175
54;1.1;0.2537;0.254;3.235
55;1.1;0.2587;0.259;3.295
56;1.12;0.2637;0.264;3.355
57;1.12;0.2687;0.269;3.415
58;1.12;0.2738;0.274;3.475
59;1.14;0.2788;0.279;3.535
60;1.14;0.2837;0.284;3.595
61;1.14;0.2887;0.289;3.655
62;1.16;0.2937;0.294;3.715
63;1.16;0.2987;0.299;3.775
64;1.18;0.3037;0.304;3.835
65;1.18;0.3088;0.309;3.895
66;1.18;0.3137;0.314;3.955
67;1.2;0.3187;0.319;4.015
68;1.2;0.3237;0.324;4.075
69;1.2;0.3287;0.329;4.135
70;1.22;0.3337;0.334;4.195
71;1.22;0.3388;0.339;4.255
72;1.22;0.3438;0.344;4.315
73;1.24;0.3487;0.349;4.375
74;1.24;0.3537;0.354;4.435
75;1.24;0.3587;0.359;4.495
76;1.26;0.3625;0.362;4.555
77;1.26;0.3688;0.369;4.615
78;1.26;0.3725;0.373;4.675
79;1.28;0.3775;0.377;4.735
80;1.28;0.3825;0.382;4.795
81;1.28;0.3887;0.389;4.855
82;1.28;0.3925;0.392;4.915
83;1.3;0.3987;0.399;4.975
84;1.3;0.4025;0.403;5.035
85;1.3;0.4075;0.407;5.095
