0
Diameter:	   8.10
   1.00
Area:	  51.5300
GaugeLength:	  50.00
2009-1-1
al envelhecido
001
DataNumber:	2600
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0000	  0.0000	   0.000	   0.000
    1	  0.0000	  0.0000	   0.000	   0.055
    2	  0.0000	  0.0000	   0.000	   0.115
    3	  0.0000	  0.0000	   0.000	   0.175
    4	  0.0000	  0.0000	   0.004	   0.235
    5	  0.0400	  0.0000	   0.009	   0.295
    6	  0.0600	  0.0020	   0.014	   0.355
    7	  0.1000	  0.0020	   0.019	   0.415
    8	  0.1400	  0.0020	   0.024	   0.475
    9	  0.1600	  0.0040	   0.029	   0.535
   10	  0.1600	  0.0040	   0.034	   0.595
   11	  0.1600	  0.0040	   0.039	   0.655
   12	  0.1800	  0.0040	   0.044	   0.715
   13	  0.1800	  0.0040	   0.049	   0.775
   14	  0.1800	  0.0040	   0.054	   0.835
   15	  0.1800	  0.0060	   0.059	   0.895
   16	  0.1800	  0.0040	   0.064	   0.955
   17	  0.1800	  0.0060	   0.069	   1.015
   18	  0.1800	  0.0040	   0.074	   1.075
   19	  0.1800	  0.0060	   0.079	   1.135
   20	  0.2000	  0.0060	   0.084	   1.195
   21	  0.2200	  0.0060	   0.089	   1.255
   22	  0.2600	  0.0060	   0.094	   1.315
   23	  0.3000	  0.0060	   0.099	   1.375
   24	  0.3200	  0.0060	   0.104	   1.435
   25	  0.3600	  0.0080	   0.109	   1.495
   26	  0.4000	  0.0080	   0.114	   1.555
   27	  0.4600	  0.0080	   0.119	   1.615
   28	  0.5000	  0.0100	   0.124	   1.675
   29	  0.5600	  0.0100	   0.129	   1.735
   30	  0.6000	  0.0100	   0.134	   1.795
   31	  0.6600	  0.0120	   0.139	   1.855
   32	  0.7200	  0.0120	   0.144	   1.915
   33	  0.7600	  0.0120	   0.149	   1.975
   34	  0.8000	  0.0140	   0.154	   2.035
   35	  0.8400	  0.0140	   0.159	   2.095
   36	  0.8800	  0.0140	   0.164	   2.155
   37	  0.9200	  0.0140	   0.169	   2.215
   38	  0.9400	  0.0160	   0.174	   2.275
   39	  0.9800	  0.0160	   0.179	   2.335
   40	  1.0200	  0.0160	   0.184	   2.395
   41	  1.0600	  0.0180	   0.189	   2.455
   42	  1.1000	  0.0180	   0.194	   2.515
   43	  1.1400	  0.0180	   0.199	   2.575
   44	  1.1800	  0.0200	   0.204	   2.635
   45	  1.2200	  0.0200	   0.209	   2.695
   46	  1.2600	  0.0200	   0.214	   2.755
   47	  1.3000	  0.0200	   0.219	   2.815
   48	  1.3400	  0.0200	   0.224	   2.875
   49	  1.3800	  0.0220	   0.229	   2.935
   50	  1.4000	  0.0220	   0.234	   2.995
   51	  1.4400	  0.0220	   0.239	   3.055
   52	  1.4800	  0.0220	   0.244	   3.115
   53	  1.5200	  0.0240	   0.249	   3.175
   54	  1.5600	  0.0240	   0.254	   3.235
   55	  1.6000	  0.0240	   0.259	   3.295
