0
Diameter:	   8.00
   1.00
Area:	  50.2655
GaugeLength:	  50.00
2009-1-1
al solu
001
DataNumber:	3395
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0000	  0.0000	   0.000	   0.000
    1	  0.0000	  0.0000	   0.000	   0.055
    2	  0.0000	  0.0000	   0.001	   0.115
    3	  0.0000	  0.0000	   0.001	   0.175
    4	  0.0200	  0.0000	   0.005	   0.235
    5	  0.0600	  0.0000	   0.010	   0.295
    6	  0.0800	  0.0020	   0.015	   0.355
    7	  0.1000	  0.0020	   0.020	   0.415
    8	  0.1400	  0.0020	   0.025	   0.475
    9	  0.1600	  0.0020	   0.029	   0.535
   10	  0.1600	  0.0020	   0.035	   0.595
   11	  0.1600	  0.0020	   0.039	   0.655
   12	  0.1600	  0.0020	   0.045	   0.715
   13	  0.1600	  0.0020	   0.049	   0.775
   14	  0.1600	  0.0020	   0.055	   0.835
   15	  0.1600	  0.0020	   0.059	   0.895
   16	  0.1600	  0.0020	   0.065	   0.955
   17	  0.1800	  0.0020	   0.069	   1.015
   18	  0.1800	  0.0020	   0.074	   1.075
   19	  0.2200	  0.0040	   0.079	   1.135
   20	  0.2600	  0.0040	   0.084	   1.195
   21	  0.2800	  0.0060	   0.089	   1.255
   22	  0.3200	  0.0060	   0.094	   1.315
   23	  0.3400	  0.0080	   0.099	   1.375
   24	  0.3800	  0.0080	   0.104	   1.435
   25	  0.3800	  0.0080	   0.109	   1.495
   26	  0.3800	  0.0100	   0.114	   1.555
   27	  0.3600	  0.0080	   0.119	   1.615
   28	  0.3600	  0.0080	   0.124	   1.675
   29	  0.3800	  0.0080	   0.129	   1.735
   30	  0.3800	  0.0080	   0.134	   1.795
   31	  0.3800	  0.0080	   0.139	   1.855
   32	  0.3800	  0.0100	   0.144	   1.915
   33	  0.3800	  0.0100	   0.149	   1.975
   34	  0.4000	  0.0080	   0.154	   2.035
   35	  0.4000	  0.0100	   0.159	   2.095
   36	  0.4000	  0.0100	   0.164	   2.155
   37	  0.4000	  0.0100	   0.169	   2.215
   38	  0.4200	  0.0100	   0.174	   2.275
   39	  0.4200	  0.0100	   0.179	   2.335
   40	  0.4200	  0.0100	   0.184	   2.395
   41	  0.4400	  0.0100	   0.189	   2.455
   42	  0.4400	  0.0100	   0.194	   2.515
   43	  0.4400	  0.0120	   0.199	   2.575
   44	  0.4400	  0.0100	   0.201	   2.635
   45	  0.4600	  0.0120	   0.206	   2.695
   46	  0.4600	  0.0120	   0.211	   2.755
   47	  0.4600	  0.0120	   0.216	   2.815
   48	  0.4800	  0.0120	   0.221	   2.875
   49	  0.4800	  0.0120	   0.226	   2.935
   50	  0.4800	  0.0120	   0.231	   2.995
   51	  0.5000	  0.0120	   0.236	   3.055
   52	  0.5000	  0.0120	   0.241	   3.115
   53	  0.5000	  0.0140	   0.246	   3.175
   54	  0.5000	  0.0120	   0.251	   3.235
   55	  0.5200	  0.0140	   0.256	   3.295
   56	  0.5200	  0.0140	   0.261	   3.355
