0
Diameter:	   7.90
   1.00
Area:	  49.0167
GaugeLength:	  50.00
2009-1-1
ACO REVENIDO
GRUPO3 ACO REVENIDO
DataNumber:	2647
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0000	  0.0000	   0.000	   0.000
    1	  0.0000	  0.5100	   0.000	   0.055
    2	  0.0000	  0.5100	   0.000	   0.115
    3	  0.0000	  0.5100	   0.005	   0.175
    4	  0.0200	  0.5100	   0.010	   0.235
    5	  0.0200	  0.5120	   0.015	   0.295
    6	  0.0200	  0.5120	   0.020	   0.355
    7	  0.0400	  0.5120	   0.025	   0.415
    8	  0.0400	  0.5120	   0.029	   0.475
    9	  0.0600	  0.5120	   0.035	   0.535
   10	  0.0600	  0.5140	   0.040	   0.595
   11	  0.0600	  0.5140	   0.044	   0.655
   12	  0.0600	  0.5140	   0.050	   0.715
   13	  0.0600	  0.5140	   0.055	   0.775
   14	  0.0600	  0.5140	   0.059	   0.835
   15	  0.0600	  0.5140	   0.064	   0.895
   16	  0.0600	  0.5140	   0.069	   0.955
   17	  0.0600	  0.5140	   0.074	   1.015
   18	  0.0600	  0.5140	   0.079	   1.075
   19	  0.0600	  0.5140	   0.084	   1.135
   20	  0.0600	  0.5140	   0.089	   1.195
   21	  0.0600	  0.5140	   0.094	   1.255
   22	  0.0600	  0.5140	   0.099	   1.315
   23	  0.0600	  0.5140	   0.104	   1.375
   24	  0.0600	  0.5140	   0.109	   1.435
   25	  0.0600	  0.5140	   0.114	   1.495
   26	  0.0600	  0.5140	   0.119	   1.555
   27	  0.0600	  0.5140	   0.124	   1.615
   28	  0.0600	  0.5140	   0.129	   1.675
   29	  0.0600	  0.5140	   0.134	   1.735
   30	  0.0600	  0.5140	   0.139	   1.795
   31	  0.0600	  0.5140	   0.144	   1.855
   32	  0.0600	  0.5140	   0.149	   1.915
   33	  0.0600	  0.5140	   0.154	   1.975
   34	  0.0600	  0.5140	   0.159	   2.035
   35	  0.0600	  0.5140	   0.164	   2.095
   36	  0.0600	  0.5140	   0.169	   2.155
   37	  0.0600	  0.5140	   0.174	   2.215
   38	  0.0600	  0.5140	   0.179	   2.275
   39	  0.0600	  0.5140	   0.184	   2.335
   40	  0.0600	  0.5140	   0.189	   2.395
   41	  0.0600	  0.5140	   0.194	   2.455
   42	  0.0600	  0.5140	   0.199	   2.515
   43	  0.0600	  0.5160	   0.204	   2.575
   44	  0.0600	  0.5160	   0.209	   2.635
   45	  0.0600	  0.5160	   0.214	   2.695
   46	  0.0600	  0.5140	   0.219	   2.755
   47	  0.0600	  0.5160	   0.224	   2.815
   48	  0.0600	  0.5160	   0.229	   2.875
   49	  0.0600	  0.5160	   0.234	   2.935
   50	  0.0600	  0.5140	   0.239	   2.995
   51	  0.0600	  0.5160	   0.244	   3.055
   52	  0.0600	  0.5160	   0.249	   3.115
   53	  0.0600	  0.5160	   0.254	   3.175
   54	  0.0600	  0.5160	   0.259	   3.235
   55	  0.0600	  0.5160	   0.264	   3.295
   56	  0.0600	  0.5160	   0.269	   3.355
   57	  0.0600	  0.5160	   0.274	   3.415
   58	  0.0600	  0.5160	   0.279	   3.475
   59	  0.0600	  0.5160	   0.284	   3.535
   60	  0.0600	  0.5160	   0.289	   3.595
   61	  0.0600	  0.5160	   0.294	   3.655
   62	  0.0600	  0.5160	   0.299	   3.715
   63	  0.0600	  0.5160	   0.304	   3.775
   64	  0.0600	  0.5160	   0.309	   3.835
   65	  0.0600	  0.5160	   0.314	   3.895
   66	  0.0600	  0.5160	   0.319	   3.955
   67	  0.0600	  0.5160	   0.324	   4.015
   68	  0.0600	  0.5160	   0.329	   4.075
   69	  0.0600	  0.5160	   0.334	   4.135
   70	  0.0600	  0.5160	   0.339	   4.195
   71	  0.0600	  0.5160	   0.344	   4.255
   72	  0.0600	  0.5160	   0.349	   4.315
   73	  0.0600	  0.5160	   0.354	   4.375
   74	  0.0800	  0.5160	   0.359	   4.435
   75	  0.0600	  0.5160	   0.364	   4.495
   76	  0.0800	  0.5160	   0.369	   4.555
   77	  0.0600	  0.5160	   0.374	   4.615
   78	  0.0600	  0.5160	   0.379	   4.675
   79	  0.0600	  0.5160	   0.384	   4.735
   80	  0.0600	  0.5160	   0.389	   4.795
   81	  0.0600	  0.5160	   0.394	   4.855
   82	  0.0600	  0.5160	   0.397	   4.915
   83	  0.0600	  0.5160	   0.404	   4.975
   84	  0.0600	  0.5160	   0.407	   5.035
   85	  0.0600	  0.5160	   0.414	   5.095
   86	  0.0600	  0.5180	   0.419	   5.155
   87	  0.0600	  0.5160	   0.422	   5.215
   88	  0.0800	  0.5160	   0.427	   5.275
   89	  0.0600	  0.5160	   0.433	   5.335
   90	  0.0600	  0.5160	   0.439	   5.395
   91	  0.0800	  0.5160	   0.442	   5.455
   92	  0.0800	  0.5160	   0.447	   5.515
   93	  0.0800	  0.5160	   0.452	   5.575
   94	  0.0800	  0.5160	   0.457	   5.635
   95	  0.0800	  0.5160	   0.462	   5.695
   96	  0.0800	  0.5160	   0.468	   5.755
   97	  0.0800	  0.5160	   0.472	   5.815
   98	  0.0800	  0.5160	   0.477	   5.875
   99	  0.0800	  0.5160	   0.482	   5.935
  100	  0.0800	  0.5180	   0.487	   5.995
  101	  0.0800	  0.5160	   0.492	   6.055
  102	  0.0800	  0.5160	   0.498	   6.115
  103	  0.0800	  0.5160	   0.502	   6.175
  104	  0.0800	  0.5180	   0.507	   6.235
  105	  0.0800	  0.5160	   0.512	   6.295
  106	  0.0800	  0.5160	   0.517	   6.355
  107	  0.0800	  0.5160	   0.522	   6.415
  108	  0.0800	  0.5160	   0.527	   6.475
  109	  0.1000	  0.5160	   0.532	   6.535
  110	  0.1000	  0.5160	   0.537	   6.595
  111	  0.1000	  0.5160	   0.542	   6.655
  112	  0.1200	  0.5160	   0.548	   6.715
  113	  0.1200	  0.5160	   0.553	   6.775
  114	  0.1400	  0.5160	   0.558	   6.835
  115	  0.1600	  0.5160	   0.562	   6.895
  116	  0.1800	  0.5160	   0.567	   6.955
  117	  0.2000	  0.5160	   0.572	   7.015
  118	  0.2200	  0.5160	   0.577	   7.075
  119	  0.2400	  0.5160	   0.582	   7.135
  120	  0.2800	  0.5160	   0.587	   7.195
  121	  0.3000	  0.5160	   0.592	   7.255
  122	  0.3400	  0.5140	   0.597	   7.315
  123	  0.3800	  0.5140	   0.602	   7.375
  124	  0.4000	  0.5140	   0.607	   7.435
  125	  0.4600	  0.5140	   0.613	   7.495
  126	  0.5000	  0.5140	   0.618	   7.555
  127	  0.5400	  0.5140	   0.623	   7.615
  128	  0.6000	  0.5140	   0.627	   7.675
  129	  0.6600	  0.5140	   0.632	   7.735
  130	  0.7000	  0.5140	   0.637	   7.795
  131	  0.7600	  0.5140	   0.642	   7.855
  132	  0.8200	  0.5140	   0.647	   7.915
  133	  0.8800	  0.5140	   0.652	   7.975
  134	  0.9400	  0.5140	   0.657	   8.035
  135	  1.0000	  0.5140	   0.662	   8.095
  136	  1.0800	  0.5140	   0.667	   8.155
  137	  1.1400	  0.5140	   0.673	   8.215
  138	  1.2000	  0.5140	   0.678	   8.275
  139	  1.2800	  0.5140	   0.681	   8.335
  140	  1.3400	  0.5120	   0.688	   8.395
  141	  1.4200	  0.5140	   0.692	   8.455
  142	  1.4800	  0.5140	   0.697	   8.515
  143	  1.5600	  0.5140	   0.701	   8.575
  144	  1.6200	  0.5140	   0.707	   8.635
  145	  1.7000	  0.5140	   0.711	   8.695
  146	  1.7800	  0.5140	   0.716	   8.755
  147	  1.8400	  0.5140	   0.721	   8.815
  148	  1.9200	  0.5140	   0.726	   8.875
  149	  2.0000	  0.5140	   0.731	   8.935
  150	  2.0600	  0.5140	   0.736	   8.995
  151	  2.1400	  0.5140	   0.741	   9.055
  152	  2.2200	  0.5140	   0.746	   9.115
  153	  2.3000	  0.5140	   0.751	   9.175
  154	  2.3600	  0.5140	   0.756	   9.235
  155	  2.4400	  0.5160	   0.761	   9.295
  156	  2.5200	  0.5160	   0.766	   9.355
  157	  2.5800	  0.5160	   0.771	   9.415
  158	  2.6400	  0.5160	   0.776	   9.475
  159	  2.7200	  0.5160	   0.781	   9.535
  160	  2.7800	  0.5160	   0.786	   9.595
  161	  2.8200	  0.5160	   0.791	   9.655
  162	  2.8600	  0.5160	   0.796	   9.715
  163	  2.8800	  0.5160	   0.801	   9.775
  164	  2.9000	  0.5160	   0.806	   9.835
  165	  2.9000	  0.5160	   0.811	   9.895
  166	  2.8800	  0.5160	   0.816	   9.955
  167	  2.7800	  0.5160	   0.821	  10.015
  168	  2.8000	  0.5160	   0.826	  10.075
  169	  2.8000	  0.5160	   0.831	  10.135
  170	  2.8400	  0.5160	   0.836	  10.195
  171	  2.8800	  0.5160	   0.841	  10.255
  172	  2.9200	  0.5160	   0.846	  10.315
  173	  2.9800	  0.5160	   0.851	  10.375
  174	  3.0200	  0.5160	   0.856	  10.435
  175	  3.0800	  0.5160	   0.861	  10.495
  176	  3.1200	  0.5180	   0.866	  10.555
  177	  3.1800	  0.5160	   0.871	  10.615
  178	  3.2400	  0.5180	   0.876	  10.675
  179	  3.3000	  0.5180	   0.881	  10.735
  180	  3.3400	  0.5160	   0.886	  10.795
  181	  3.4000	  0.5180	   0.891	  10.855
  182	  3.4600	  0.5180	   0.896	  10.915
  183	  3.5200	  0.5180	   0.901	  10.975
  184	  3.5600	  0.5180	   0.906	  11.035
  185	  3.6200	  0.5180	   0.911	  11.095
  186	  3.6600	  0.5180	   0.916	  11.155
  187	  3.7000	  0.5180	   0.921	  11.215
  188	  3.6600	  0.5180	   0.926	  11.275
  189	  3.6200	  0.5180	   0.931	  11.335
  190	  3.6200	  0.5180	   0.936	  11.395
  191	  3.6200	  0.5180	   0.941	  11.455
  192	  3.6200	  0.5180	   0.946	  11.515
  193	  3.6400	  0.5180	   0.951	  11.575
  194	  3.6600	  0.5180	   0.956	  11.635
  195	  3.6800	  0.5180	   0.961	  11.695
  196	  3.7200	  0.5200	   0.966	  11.755
  197	  3.7400	  0.5200	   0.971	  11.815
  198	  3.7600	  0.5200	   0.976	  11.875
  199	  3.7800	  0.5200	   0.981	  11.935
  200	  3.8000	  0.5180	   0.986	  11.995
  201	  3.8400	  0.5200	   0.991	  12.055
  202	  3.8600	  0.5180	   0.996	  12.115
  203	  3.9000	  0.5200	   1.001	  12.175
  204	  3.9400	  0.5200	   1.006	  12.235
  205	  3.9800	  0.5200	   1.011	  12.295
