0
Diameter:	   7.85
   1.00
Area:	  48.3982
GaugeLength:	  50.00
2009-1-1
aco temp 
001
DataNumber:	1641
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0000	  0.0000	   0.000	   0.000
    1	  0.0000	  0.0000	   0.000	   0.055
    2	  0.0000	  0.0000	   0.000	   0.115
    3	  0.0000	  0.0000	   0.000	   0.175
    4	  0.0000	  0.0050	   0.005	   0.235
    5	  0.0000	  0.0088	   0.009	   0.295
    6	  0.0000	  0.0137	   0.014	   0.355
    7	  0.0000	  0.0187	   0.019	   0.415
    8	  0.0000	  0.0237	   0.024	   0.475
    9	  0.0000	  0.0287	   0.029	   0.535
   10	  0.0000	  0.0337	   0.034	   0.595
   11	  0.0000	  0.0388	   0.039	   0.655
   12	  0.0400	  0.0437	   0.044	   0.715
   13	  0.1000	  0.0487	   0.049	   0.775
   14	  0.1400	  0.0537	   0.054	   0.835
   15	  0.1600	  0.0587	   0.059	   0.895
   16	  0.1600	  0.0637	   0.064	   0.955
   17	  0.1600	  0.0688	   0.069	   1.015
   18	  0.1600	  0.0737	   0.074	   1.075
   19	  0.1600	  0.0787	   0.079	   1.135
   20	  0.1600	  0.0837	   0.084	   1.195
   21	  0.1600	  0.0887	   0.089	   1.255
   22	  0.1600	  0.0938	   0.094	   1.315
   23	  0.1600	  0.0987	   0.099	   1.375
   24	  0.1600	  0.1037	   0.104	   1.435
   25	  0.1600	  0.1088	   0.109	   1.495
   26	  0.1600	  0.1137	   0.114	   1.555
   27	  0.1600	  0.1187	   0.119	   1.615
   28	  0.1600	  0.1237	   0.124	   1.675
   29	  0.1600	  0.1287	   0.129	   1.735
   30	  0.1800	  0.1337	   0.134	   1.795
   31	  0.2400	  0.1388	   0.139	   1.855
   32	  0.3000	  0.1437	   0.144	   1.915
   33	  0.3600	  0.1487	   0.149	   1.975
   34	  0.4200	  0.1538	   0.154	   2.035
   35	  0.5000	  0.1587	   0.159	   2.095
   36	  0.5800	  0.1637	   0.164	   2.155
   37	  0.6400	  0.1688	   0.169	   2.215
   38	  0.7000	  0.1737	   0.174	   2.275
   39	  0.7600	  0.1787	   0.179	   2.335
   40	  0.8200	  0.1837	   0.184	   2.395
   41	  0.8400	  0.1887	   0.189	   2.455
   42	  0.8800	  0.1937	   0.194	   2.515
   43	  0.9200	  0.1987	   0.199	   2.575
   44	  0.9400	  0.2037	   0.204	   2.635
   45	  0.9800	  0.2087	   0.209	   2.695
   46	  1.0000	  0.2137	   0.214	   2.755
   47	  1.0200	  0.2188	   0.219	   2.815
   48	  1.0400	  0.2237	   0.224	   2.875
   49	  1.0400	  0.2287	   0.229	   2.935
   50	  1.0600	  0.2338	   0.234	   2.995
   51	  1.0600	  0.2387	   0.239	   3.055
   52	  1.0800	  0.2437	   0.244	   3.115
   53	  1.0800	  0.2488	   0.249	   3.175
   54	  1.1000	  0.2537	   0.254	   3.235
   55	  1.1000	  0.2587	   0.259	   3.295
