0
Diameter:	   3.00
   6.00
Area:	  18.0000
Gauge:	  25.00
2009-1-20
Polimero
amostra 20mm/min
DataNumber:	3772
Order	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0000	  0.0000	   0.000	   0.000
    1	  0.0000	  0.0225	   0.022	   0.055
    2	  0.0200	  0.0712	   0.071	   0.115
    3	  0.0200	  0.1212	   0.121	   0.175
    4	  0.0200	  0.1713	   0.171	   0.235
    5	  0.0600	  0.2212	   0.221	   0.295
    6	  0.0800	  0.2712	   0.271	   0.355
    7	  0.1000	  0.3212	   0.321	   0.415
    8	  0.1200	  0.3713	   0.371	   0.475
    9	  0.1400	  0.4212	   0.421	   0.535
   10	  0.1600	  0.4712	   0.471	   0.595
   11	  0.1800	  0.5213	   0.521	   0.655
   12	  0.2000	  0.5712	   0.571	   0.715
   13	  0.2200	  0.6212	   0.621	   0.775
   14	  0.2400	  0.6712	   0.671	   0.835
   15	  0.2400	  0.7212	   0.721	   0.895
   16	  0.2600	  0.7713	   0.771	   0.955
   17	  0.2800	  0.8212	   0.821	   1.015
   18	  0.2800	  0.8712	   0.871	   1.075
   19	  0.3000	  0.9200	   0.920	   1.135
   20	  0.3000	  0.9712	   0.971	   1.195
   21	  0.3200	  1.0213	   1.021	   1.255
   22	  0.3200	  1.0712	   1.071	   1.315
   23	  0.3400	  1.1213	   1.121	   1.375
   24	  0.3400	  1.1712	   1.171	   1.435
   25	  0.3600	  1.2212	   1.221	   1.495
   26	  0.3600	  1.2713	   1.271	   1.555
   27	  0.3600	  1.3212	   1.321	   1.615
   28	  0.3800	  1.3712	   1.371	   1.675
   29	  0.3800	  1.4225	   1.423	   1.735
   30	  0.3800	  1.4725	   1.472	   1.795
   31	  0.4000	  1.5225	   1.522	   1.855
   32	  0.4000	  1.5725	   1.572	   1.915
   33	  0.4000	  1.6237	   1.624	   1.975
   34	  0.4000	  1.6725	   1.673	   2.035
   35	  0.4200	  1.7225	   1.722	   2.095
   36	  0.4200	  1.7737	   1.774	   2.155
   37	  0.4200	  1.8237	   1.824	   2.215
   38	  0.4200	  1.8737	   1.874	   2.275
   39	  0.4200	  1.9237	   1.924	   2.335
   40	  0.4400	  1.9737	   1.974	   2.395
   41	  0.4400	  2.0238	   2.024	   2.455
   42	  0.4400	  2.0738	   2.074	   2.515
   43	  0.4400	  2.1237	   2.124	   2.575
   44	  0.4400	  2.1737	   2.174	   2.635
   45	  0.4400	  2.2237	   2.224	   2.695
   46	  0.4400	  2.2738	   2.274	   2.755
   47	  0.4400	  2.3238	   2.324	   2.815
   48	  0.4400	  2.3737	   2.374	   2.875
   49	  0.4600	  2.4250	   2.425	   2.935
   50	  0.4600	  2.4737	   2.474	   2.995
   51	  0.4600	  2.5237	   2.524	   3.055
   52	  0.4600	  2.5750	   2.575	   3.115
   53	  0.4600	  2.6250	   2.625	   3.175
   54	  0.4600	  2.6750	   2.675	   3.235
   55	  0.4600	  2.7250	   2.725	   3.295
   56	  0.4600	  2.7762	   2.776	   3.355
   57	  0.4600	  2.8250	   2.825	   3.415
   58	  0.4600	  2.8763	   2.876	   3.475
   59	  0.4600	  2.9262	   2.926	   3.535
   60	  0.4600	  2.9762	   2.976	   3.595
   61	  0.4600	  3.0262	   3.026	   3.655
   62	  0.4600	  3.0762	   3.076	   3.715
   63	  0.4600	  3.1275	   3.127	   3.775
   64	  0.4600	  3.1762	   3.176	   3.835
   65	  0.4600	  3.2275	   3.227	   3.895
   66	  0.4600	  3.2775	   3.277	   3.955
   67	  0.4600	  3.3275	   3.327	   4.015
   68	  0.4600	  3.3775	   3.377	   4.075
   69	  0.4600	  3.4275	   3.428	   4.135
   70	  0.4600	  3.4787	   3.479	   4.195
   71	  0.4600	  3.5275	   3.527	   4.255
   72	  0.4600	  3.5787	   3.579	   4.315
   73	  0.4600	  3.6287	   3.629	   4.375
   74	  0.4600	  3.6800	   3.680	   4.435
   75	  0.4600	  3.7300	   3.730	   4.495
   76	  0.4400	  3.7787	   3.779	   4.555
   77	  0.4400	  3.8300	   3.830	   4.615
   78	  0.4400	  3.8800	   3.880	   4.675
   79	  0.4400	  3.9300	   3.930	   4.735
   80	  0.4400	  3.9800	   3.980	   4.795
   81	  0.4400	  4.0312	   4.031	   4.855
   82	  0.4400	  4.0812	   4.081	   4.915
   83	  0.4400	  4.1312	   4.131	   4.975
   84	  0.4400	  4.1813	   4.181	   5.035
   85	  0.4400	  4.2312	   4.231	   5.095
   86	  0.4400	  4.2825	   4.282	   5.155
